MASKED_XCC,SKU_NUMBER,SKU_RANK_NUMBER,HEALTH_SKU_NUMBER
50550757,191158,6,346979
35109466,337414,14,862652
26002132,445603,9,408076
27247098,829850,6,829854
23577690,451305,14,369824
3913129,397983,10,397983
44664446,243688,9,369824
5432563,989813,3,298943
21647247,497582,7,302828
13911503,921230,1,371948
8139387,840371,5,230344
32436602,498038,6,122414
9133760,705859,1,108064
22013238,370317,7,401226
296804,177433,11,715188
4304552,234437,3,234437
13582671,444382,6,497688
5620631,813576,2,335244
24568995,408145,3,110171
45758435,415979,13,829854
20351606,132361,9,306720
24487055,491494,15,287996
51140313,328356,13,952988
1337624,184741,1,151712
53396094,792500,14,384693
27137706,258585,16,498855
65013028,840371,3,184103
51464530,360865,9,997701
4802681,162498,11,492687
35025841,878782,1,276121
32501696,353968,19,398866
13037705,108852,8,343885
45914998,798641,10,340327
22683037,162498,20,813576
4574181,551875,8,721038
7222515,140160,6,339486
1288712,218914,7,732802
33550804,235873,2,235873
37776629,287572,4,550147
3740631,237548,9,211810
14039382,110171,5,277802
26636660,729602,9,449813
38637072,250787,1,250075
23425037,369824,12,731232
21167637,372441,14,372441
19434475,813576,5,100990
14867544,397031,10,899937
16488462,302925,18,829850
801903,855377,1,237335
14182253,548487,2,442869
54275434,926305,4,926305
44860340,982830,3,874147
3917787,612894,2,267562
19477654,369824,7,322755
26046276,140160,10,209144
1836317,413879,12,413879
34306016,186886,11,155912
2026275,341321,5,299996
52211636,966052,17,369824
20382154,282813,9,450597
4895916,813576,18,967716
2264811,252842,8,252842
1684060,829850,8,813576
22046996,693425,3,368369
67602986,441617,4,397671
1184093,208334,13,219527
23255817,383233,11,319364
29724863,107177,10,372441
30646800,956746,9,721552
46612488,402428,6,964461
23012356,314490,7,140160
25903980,734701,10,276111
23179655,238246,7,277776
29812366,352427,1,145177
11941769,840371,3,501873
2002200,395833,17,465865
17875834,468080,8,341442
9879340,289574,17,993525
27086023,374097,11,333722
14269933,371914,13,501873
11728913,789773,1,789773
30538586,713639,1,201414
38476983,410389,5,246358
53394709,468080,12,966052
41406999,315321,15,417589
2254466,953792,9,556126
10804404,330824,1,55723
13509252,395833,9,507400
3884905,337472,5,337472
2704203,999671,8,862652
3968331,823994,10,868195
35018398,451305,18,451305
757584,337060,8,172455
10822659,626321,6,605843
39157574,862652,3,154815
51261680,237544,8,264628
39461567,369824,14,275175
1832992,227002,5,862232
20994403,468080,12,979596
40038740,460724,10,828595
39122223,237548,4,322228
45561406,371948,3,890762
3018180,302828,16,859684
53407178,959388,6,421161
38929714,705772,9,721552
35819790,135780,18,966052
34679609,692270,19,968576
16398288,141794,11,516584
18843025,369824,16,481914
40058805,413879,10,692270
33308707,726897,8,468080
3029150,457918,5,457918
331167,456486,1,375411
38273818,369415,13,369415
179252,370317,11,997124
2427947,895266,16,858817
31030720,418653,2,343477
44925747,299341,8,605465
34188891,960973,12,276326
53008877,442316,7,862652
39453269,890105,18,829850
42578375,482530,9,275175
7233245,238190,7,291856
33797540,814854,11,322755
51153248,455407,9,395214
11245452,789786,10,687340
5078032,106096,12,414232
38135316,813576,4,895762
29802690,283796,8,416156
10933377,444724,13,556126
28657406,372441,20,813576
44156203,149928,4,501873
51109049,449813,14,100081
12711200,721552,7,721552
16428080,115585,10,211728
35355881,488027,3,310412
9037984,395833,6,395833
10676824,482530,9,211727
67606800,259592,15,294235
17384057,853023,11,249561
425790,311872,6,847260
12249171,301087,5,648748
17643410,966911,1,966911
10018555,276326,12,997124
45051537,395534,20,734701
54569899,829850,14,891705
53347526,808211,4,823475
8814432,115585,10,966052
1059934,451305,19,731309
8422580,866188,20,907436
11842585,444724,9,187896
25940792,173146,8,198471
22863192,966052,12,454376
45574052,154815,1,154815
15889800,374039,6,412542
5130961,507392,5,228263
51184699,917253,4,435195
7799590,792495,12,172193
38116880,656060,14,734701
51021887,319364,8,516584
25571347,110472,14,299970
5279846,469709,11,330774
38065445,466666,7,380036
9122782,208874,16,413879
1270024,235803,17,297584
4685083,499404,3,862652
6510519,337060,19,720656
20466796,789786,8,334571
34488657,294044,4,434819
2825441,468080,9,792500
4001594,985574,16,369824
21107254,277776,5,843222
43222541,237544,9,341012
46461629,378900,9,467735
10891154,365523,7,369824
33732474,154815,12,453687
46427842,369824,11,566166
3086373,860691,13,343851
39137322,811922,13,537316
12701380,341442,4,501873
19477545,895762,10,721552
52184872,813576,2,800768
8087812,234585,14,678241
44498218,401226,11,956187
18007521,797116,8,895141
21023404,100990,7,139231
50975235,829850,16,341442
27843756,207901,18,734701
1722103,439074,1,266106
2050930,273615,11,468080
11301884,705527,8,731309
37984301,258585,7,711999
50691647,371948,9,397983
763992,953472,15,618348
1127813,566166,20,966052
40405261,397983,7,397983
7186214,693712,3,420396
4656624,557215,3,310274
26738378,278124,2,278124
1030017,846846,14,507392
37985973,813576,2,692270
25530673,328846,19,337541
19588855,171322,9,829854
2693042,328276,9,444235
12619694,275175,4,415979
51668003,154641,2,995439
35859131,890762,1,383098
34114068,238934,3,366444
12491702,966052,11,371914
42784179,545913,8,318984
24109487,432115,7,444724
19789464,328368,2,328368
38437935,450186,7,358923
10291804,795730,9,445603
14011045,712646,7,339953
53729451,364518,11,337896
1836569,853023,18,273540
39491612,395534,15,866992
388562,260780,2,260780
31692785,380036,10,380036
1776153,455407,9,209144
46659983,281874,6,468080
35460031,369824,9,966052
18821757,145570,10,145570
33904919,838569,10,497144
16408674,813576,10,862652
38014251,133177,2,133177
27344700,236162,8,873063
3411064,370317,10,132308
6684537,237544,5,237544
37540623,823994,7,926541
15256258,337060,14,813576
27121677,268431,15,252353
3989708,237544,2,237544
25958652,335244,10,862652
5621851,843222,18,846846
45450397,328846,6,399869
27870783,814854,18,968577
36333722,107425,4,444818
19108245,100990,14,175239
33568200,140160,15,240966
3758586,966052,5,371971
39351935,489905,8,194902
37875485,319833,17,990372
29781563,195052,11,990564
11982324,459954,1,459954
20225199,337445,9,344387
3650448,747330,15,204743
23449262,289017,15,289017
690694,230346,14,829850
22801292,225865,17,454376
28528849,362593,4,467769
7691143,808213,1,265242
24378003,299970,4,416156
4125002,839643,14,953792
23058994,721552,7,208874
39833758,829850,3,341442
42934459,380036,15,846846
3682493,251722,10,402790
16222648,281874,17,177449
38013640,140160,4,862652
10295359,862232,15,983914
46602953,115849,1,444724
25709676,979596,6,273540
50725251,741918,1,165639
38536748,727119,8,337055
3716778,369824,17,369824
42867960,337414,6,236066
457109,442624,2,237548
15298983,991266,7,991266
28409930,297735,15,808211
26132734,369824,10,341442
25625787,387118,17,444724
52047256,389345,3,465478
53581345,239673,12,226775
5957844,281874,9,398254
5612764,509504,13,107287
760318,272952,6,972670
6516912,207880,9,444724
34134932,237544,2,454376
1871366,774813,16,381597
16984721,325981,1,385631
11537889,690362,18,209144
31517095,242050,6,829850
29183209,194103,18,813576
46898348,358221,4,399053
2678815,339486,6,339486
23042792,250336,10,444724
20851395,702547,3,462591
44542220,841180,12,775065
39758615,891705,12,445603
54073822,300603,12,507392
27931794,507400,1,276111
53316494,343025,12,369824
29417923,964604,1,325406
52276258,407094,9,154815
14249863,154815,5,115585
33387345,380036,7,444724
15691009,956746,13,731232
16053871,445644,9,678310
45549455,408151,3,997485
26007239,640927,4,192125
675373,211243,3,822225
6036305,810918,8,140721
39964672,278997,14,829850
25779997,956634,1,689377
8851669,237544,3,240966
6553566,451305,9,769711
35414244,907436,20,907436
16566610,230344,7,366588
23073572,224559,7,224559
12886489,455507,5,260417
903848,120966,12,454602
4950275,410647,19,369824
4754487,406843,1,406843
16908310,721563,3,882208
14442205,415341,3,690044
7674496,149928,16,314589
23624279,320787,14,481914
9124305,278439,17,278493
31110763,588196,13,369824
1358544,829854,14,813576
53631932,310108,14,566166
34406881,140160,3,926302
26063324,468080,10,979596
25194604,252961,1,252961
1793217,365244,1,423727
22954115,155912,7,410647
30053787,732717,1,732717
37166630,163093,7,482530
3988036,647632,16,420412
